PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025845,75084127,PALL MALL HAWAII ROADTRIP CAN 20 PZ,20 Mexico,890 Quintana Roo,M890,C89001,2722,CHACMOOL,0,0,0.11,7.39,7.39,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022971,7.50E+12,CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR,20 Mexico,200 Mexico,M202,C20205,1845,Dr. Valenzuela Esq. Rio de la Loza,0,0,1,67.24,67.24,DESABASTO
21864 ARTICUN DISTRIBUIDORA S.A. DE C.V.,008 Cigarros,100014774,7.50E+12,"ARTIGAS/CARL PURO MIX CORONA SABOR C 40GR				",20 Mexico,890 Quintana Roo,M890,C89003,3022,PLAZA DE TOROS,0,0,0.07,5.42,5.42,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100080928,75044916,MARLBORO KRETEK MINT,20 Mexico,200 Mexico,M205,C20502,2038,REFORMA POLITICA,0,0,3,232.76,232.76,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100019233,75074999,PALL MALL XL MYKONO 15S 1 CAJETILLA,20 Mexico,890 Quintana Roo,M890,C89004,2896,PARAISO MAYA,0,0,0.89,48.49,48.49,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025298,7.50E+12,VELO POLAR PEPPERMINT 8 MG 20 PZ,20 Mexico,720 Morelos,M720,C72001,2058,DIAZ ORDAZ ESQ. SANTA CLARA,0,0,0.18,13.09,13.09,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022995,7.50E+12,WINSTON WINSTON RED 25S 1 PZ,20 Mexico,890 Quintana Roo,M920,C92001,2658,OCEANA,0,0,0.36,20.63,20.63,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100007108,75056308,BENSON&HEDGE CRYSTAL VIOLET PZ,20 Mexico,200 Mexico,M200,C20004,739,Ruben Dario,0,0,1.25,88.36,88.36,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025296,7.50E+12,VELO STRAWBERRY ICE 8 MG 20 PZ,20 Mexico,890 Quintana Roo,M920,C92001,2806,NATIVO,0,0,0.36,27.4,27.4,DESABASTO
"2216 NUEVA DISTABAC, S.A. DE C.V.",008 Cigarros,100080351,7.50E+12,TE AMO PURO NUM 4 NATURAL PZ,20 Mexico,200 Mexico,M204,C20405,1265,Tultitlan esq. Av. Indep.,0,0,0.11,6.79,6.79,DESABASTO
